rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-12-02 08:59:41,1,1,38.89,109,37.39691060000001,127.1006686
2020-12-02 08:59:42,1,1,39.6,109,37.39664798,127.1007216
2020-12-02 08:59:43,1,1,36.24,110,37.39638379,127.1007723
2020-12-02 08:59:44,1,1,36.87,110,37.39611762,127.1008229
2020-12-02 08:59:45,1,1,36.24,110,37.39593203,127.100948
2020-12-02 08:59:46,1,1,37.52,110,37.39558368,127.10092
2020-12-02 08:59:47,1,1,39.6,110,37.39531537,127.100973
2020-12-02 08:59:48,1,1,38.89,111,37.39504698,127.1010227
2020-12-02 08:59:49,1,1,35.63,111,37.39477901,127.1010751
2020-12-02 08:59:50,1,1,35.04,110,37.3945109,127.101125
2020-12-02 08:59:51,1,1,35.63,110,37.39424337,127.1011741
2020-12-02 08:59:52,1,1,32.34,110,37.39397587,127.1012221
2020-12-02 08:59:53,1,1,36.24,110,37.39377133,127.1013364
2020-12-02 08:59:54,1,1,32.85,111,37.39344241,127.1013223
2020-12-02 08:59:55,1,1,31.85,110,37.39324001,127.1014338
2020-12-02 08:59:56,1,1,31.85,109,37.39290925,127.1014232
2020-12-02 08:59:57,1,1,31.85,107,37.39271532,127.1015344
2020-12-02 08:59:58,1,1,31.37,105,37.3924533,127.1015798
2020-12-02 08:59:59,1,1,30.0,103,37.39213587,127.1015697
2020-12-02 09:00:00,1,1,30.45,102,37.39188929,127.1016163
2020-12-02 09:00:01,1,1,30.0,100,37.39164587,127.101662
2020-12-02 09:00:02,1,1,29.57,98,37.39140505,127.1017064
2020-12-02 09:00:03,1,1,29.57,97,37.391211,127.1017876
2020-12-02 09:00:04,1,1,28.74,96,37.39098067,127.10182890000002
2020-12-02 09:00:05,1,1,28.74,94,37.39070263,127.1018372
2020-12-02 09:00:06,1,1,28.74,93,37.39047676,127.1018812
2020-12-02 09:00:07,1,1,26.85,93,37.39028924,127.1019457
2020-12-02 09:00:08,1,1,28.34,92,37.39007205,127.1019808
2020-12-02 09:00:09,1,1,28.34,92,37.38985726,127.1020173
2020-12-02 09:00:10,1,1,29.57,92,37.3896395,127.1020562
2020-12-02 09:00:11,1,1,30.0,93,37.38941455,127.10209679999998
2020-12-02 09:00:12,1,1,29.15,93,37.38913709,127.1021381
2020-12-02 09:00:13,1,1,30.45,93,37.38891289,127.102181
2020-12-02 09:00:14,1,1,27.96,93,37.38874068,127.1022132
2020-12-02 09:00:15,1,1,27.58,92,37.38846549,127.1022671
2020-12-02 09:00:16,1,1,27.58,92,37.38824349,127.1023105
2020-12-02 09:00:17,1,1,26.49,91,37.3880219,127.1023521
2020-12-02 09:00:18,1,1,27.58,91,37.38785219,127.1023816
2020-12-02 09:00:19,1,1,28.34,91,37.38763144,127.1024222
2020-12-02 09:00:20,1,1,28.34,90,37.38741255,127.1024622
2020-12-02 09:00:21,1,1,28.74,88,37.38714706,127.1025193
2020-12-02 09:00:22,1,1,28.74,88,37.38698339,127.1025463
2020-12-02 09:00:23,1,1,28.34,88,37.38676744,127.1025903
2020-12-02 09:00:24,1,1,27.58,87,37.38650884,127.1026389
2020-12-02 09:00:25,1,1,28.34,87,37.3863415,127.10267079999998
2020-12-02 09:00:26,1,1,27.96,87,37.38613099,127.1027131
2020-12-02 09:00:27,1,1,27.58,87,37.38587699,127.1027443
2020-12-02 09:00:28,1,1,27.21,88,37.38571409,127.1027967
2020-12-02 09:00:29,1,1,28.34,88,37.38545244,127.1028144
2020-12-02 09:00:30,1,1,27.96,88,37.38529402,127.1028751
2020-12-02 09:00:31,1,1,29.15,88,37.38502538,127.1028778
2020-12-02 09:00:32,1,1,29.15,89,37.38487324,127.1029527
2020-12-02 09:00:33,1,1,29.57,89,37.38466349,127.1029909
2020-12-02 09:00:34,1,1,28.74,90,37.38437475,127.1029525
2020-12-02 09:00:35,1,1,30.0,91,37.3842297,127.1030577
