rtime,latitude,longtitude
2020-12-02 09:00:10,37.3896395,127.10205619999999
2020-12-02 09:00:11,37.38941455,127.10209679999998
2020-12-02 09:00:12,37.38913709,127.1021381
2020-12-02 09:00:13,37.38891289,127.102181
2020-12-02 09:00:14,37.38874068,127.1022132
2020-12-02 09:00:15,37.38846549,127.10226709999999
2020-12-02 09:00:16,37.38824349,127.1023105
2020-12-02 09:00:17,37.3880219,127.10235209999999
2020-12-02 09:00:18,37.38785219,127.10238159999999
2020-12-02 09:00:19,37.38763144,127.1024222
2020-12-02 09:00:20,37.38741255,127.10246219999999
2020-12-02 09:00:21,37.38714706,127.1025193
2020-12-02 09:00:22,37.38698339,127.1025463
2020-12-02 09:00:23,37.38676744,127.10259029999999
2020-12-02 09:00:24,37.38650884,127.1026389
2020-12-02 09:00:25,37.3863415,127.10267079999998
2020-12-02 09:00:26,37.38613099,127.1027131
2020-12-02 09:00:27,37.38587699,127.1027443
2020-12-02 09:00:28,37.38571409,127.1027967
2020-12-02 09:00:29,37.38545244,127.10281440000001
2020-12-02 09:00:30,37.38529402,127.10287509999999
2020-12-02 09:00:31,37.38502538,127.10287779999999
2020-12-02 09:00:32,37.38487324,127.1029527
2020-12-02 09:00:33,37.38466349,127.1029909
2020-12-02 09:00:34,37.38437475,127.10295249999999
2020-12-02 09:00:35,37.3842297,127.10305770000001
2020-12-02 09:00:36,37.38393495,127.10300079999999
2020-12-02 09:00:37,37.38378993,127.1031023
2020-12-02 09:00:38,37.38356837,127.10311659999999
2020-12-02 09:00:39,37.38327893,127.1030527
2020-12-02 09:00:40,37.38313639,127.10314170000001
2020-12-02 09:00:41,37.38285035,127.10307560000001
2020-12-02 09:00:42,37.38263836,127.1030783
2020-12-02 09:00:43,37.38250342,127.1031601
2020-12-02 09:00:44,37.38229647,127.10316270000001
2020-12-02 09:00:45,37.38200749,127.1030713
2020-12-02 09:00:46,37.38179966,127.1030723
2020-12-02 09:00:47,37.3815929,127.1030689
2020-12-02 09:00:48,37.38138539,127.10306709999999
2020-12-02 09:00:49,37.38117731,127.10306580000001
2020-12-02 09:00:50,37.38096822,127.1030702
2020-12-02 09:00:51,37.38075843,127.10307279999999
2020-12-02 09:00:52,37.38063753,127.1031673
2020-12-02 09:00:53,37.38042683,127.10316920000001
2020-12-02 09:00:54,37.3802126,127.10317079999999
2020-12-02 09:00:55,37.37999671,127.1031738
2020-12-02 09:00:56,37.37977553,127.10317420000001
2020-12-02 09:00:57,37.37954774,127.1031738
2020-12-02 09:00:58,37.37931228,127.1031716
2020-12-02 09:00:59,37.37899777,127.1030869
2020-12-02 09:01:00,37.37876714,127.10308590000001
2020-12-02 09:01:01,37.37853537,127.10308429999999
2020-12-02 09:01:02,37.37829999,127.1030872
2020-12-02 09:01:03,37.37813024,127.1031622
2020-12-02 09:01:04,37.37788627,127.1031629
2020-12-02 09:01:05,37.37763818,127.10316270000001
2020-12-02 09:01:06,37.37739075,127.1031618
2020-12-02 09:01:07,37.37708647,127.1030959
2020-12-02 09:01:08,37.37683687,127.10309620000001
2020-12-02 09:01:09,37.37664053,127.10316040000001
2020-12-02 09:01:10,37.37639334,127.10316200000001
2020-12-02 09:01:11,37.37608749,127.10308899999998
2020-12-02 09:01:12,37.37590094,127.1031639
2020-12-02 09:01:13,37.37560323,127.1030875
2020-12-02 09:01:14,37.37536514,127.10308500000001
2020-12-02 09:01:15,37.37512669,127.1030967
2020-12-02 09:01:16,37.37494686,127.10317169999999
2020-12-02 09:01:17,37.37471478,127.1031739
2020-12-02 09:01:18,37.37443153,127.1031182
2020-12-02 09:01:19,37.37420341,127.1031197
2020-12-02 09:01:20,37.37404061,127.1031753
2020-12-02 09:01:21,37.37381912,127.10317409999999
2020-12-02 09:01:22,37.37359674,127.1031756
