rtime,speed,ldws,lkas
2020-11-27 15:43,83,1,1
2020-11-27 15:43,85,1,1
2020-11-27 15:43,87,1,1
2020-11-27 15:43,89,1,1
2020-11-27 15:43,90,1,1
2020-11-27 15:43,91,1,1
2020-11-27 15:43,89,1,1
2020-11-27 15:43,89,1,1
2020-11-27 15:43,88,1,1
2020-11-27 15:43,88,1,1
2020-11-27 15:43,87,1,1
2020-11-27 15:43,87,1,1
2020-11-27 15:43,87,1,1
2020-11-27 15:43,87,1,1
2020-11-27 15:43,87,1,1
2020-11-27 15:43,87,1,1
2020-11-27 15:43,87,1,1
2020-11-27 15:43,88,1,1
2020-11-27 15:43,89,1,1
2020-11-27 15:43,89,1,1
2020-11-27 15:43,89,1,1
2020-11-27 15:43,90,1,1
2020-11-27 15:43,90,1,1
2020-11-27 15:43,91,1,1
2020-11-27 15:43,91,1,1
2020-11-27 15:43,92,1,1
2020-11-27 15:43,93,1,1
2020-11-27 15:43,94,1,1
2020-11-27 15:43,7,1,1
2020-11-27 15:43,97,1,1
2020-11-27 15:43,97,1,1
2020-11-27 15:43,99,1,1
2020-11-27 15:43,100,1,1
2020-11-27 15:43,101,1,1
2020-11-27 15:43,102,1,1
2020-11-27 15:43,103,1,1
2020-11-27 15:43,104,1,1
2020-11-27 15:43,105,1,1
2020-11-27 15:43,106,1,1
2020-11-27 15:43,106,1,1
2020-11-27 15:43,107,1,1
2020-11-27 15:43,107,1,1
2020-11-27 15:43,107,1,1
2020-11-27 15:43,107,1,1
2020-11-27 15:43,106,1,1
2020-11-27 15:43,106,1,1
2020-11-27 15:43,105,1,1
2020-11-27 15:43,105,1,1
2020-11-27 15:43,104,1,1
2020-11-27 15:43,103,1,1
2020-11-27 15:43,102,1,1
2020-11-27 15:43,100,1,1
2020-11-27 15:43,98,1,1
2020-11-27 15:43,96,1,1
2020-11-27 15:43,95,1,1
2020-11-27 15:44,94,1,1
2020-11-27 15:44,94,1,1
2020-11-27 15:44,94,1,1
2020-11-27 15:44,94,1,1
2020-11-27 15:44,94,1,1
2020-11-27 15:44,95,1,1
2020-11-27 15:44,97,1,1
2020-11-27 15:44,99,1,1
2020-11-27 15:44,101,1,1
2020-11-27 15:44,101,1,1
2020-11-27 15:44,101,1,1
2020-11-27 15:44,102,1,1
2020-11-27 15:44,103,1,1
2020-11-27 15:44,103,1,1
2020-11-27 15:44,104,1,1
2020-11-27 15:44,105,1,1
2020-11-27 15:44,105,1,1
2020-11-27 15:44,105,1,1
2020-11-27 15:44,105,1,1
2020-11-27 15:44,105,1,1
2020-11-27 15:44,105,1,1
2020-11-27 15:44,106,1,1
2020-11-27 15:44,106,1,1
2020-11-27 15:44,106,1,1
2020-11-27 15:44,106,1,1
2020-11-27 15:44,106,1,1
2020-11-27 15:44,106,1,1
2020-11-27 15:44,106,1,1
2020-11-27 15:44,107,1,1
2020-11-27 15:44,106,1,1
2020-11-27 15:44,106,1,1
2020-11-27 15:44,104,1,1
2020-11-27 15:44,101,1,1
2020-11-27 15:44,96,1,1
2020-11-27 15:44,94,1,1
2020-11-27 15:44,90,1,1
2020-11-27 15:44,89,1,1
2020-11-27 15:44,89,1,1
2020-11-27 15:44,88,1,1
2020-11-27 15:44,88,1,1
2020-11-27 15:44,88,1,1
2020-11-27 15:44,87,1,1
2020-11-27 15:44,86,1,1
2020-11-27 15:44,86,1,1
2020-11-27 15:44,86,1,1
2020-11-27 15:44,86,1,1
2020-11-27 15:44,87,1,1
2020-11-27 15:44,87,1,1
2020-11-27 15:44,88,1,1
2020-11-27 15:44,89,1,1
2020-11-27 15:44,90,1,1
2020-11-27 15:44,90,1,1
2020-11-27 15:44,91,1,1
2020-11-27 15:44,92,1,1
2020-11-27 15:44,92,1,1
2020-11-27 15:44,93,1,1
2020-11-27 15:44,93,1,1
2020-11-27 15:44,94,1,1
