rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-27 14:45:56,1,1,23.11,102,37.39919557,127.1003355
2020-11-27 14:45:57,1,1,23.11,102,37.39895739999999,127.1003981
2020-11-27 14:45:58,1,1,21.57,102,37.39870269,127.1004439
2020-11-27 14:45:59,1,1,23.38,101,37.39845143,127.10049309999998
2020-11-27 14:46:00,1,1,21.33,101,37.39820607,127.10053329999998
2020-11-27 14:46:01,1,1,21.82,101,37.3979593,127.1005739
2020-11-27 14:46:02,1,1,22.57,100,37.39771209,127.10061509999998
2020-11-27 14:46:03,1,1,20.87,100,37.39746525,127.1006582
2020-11-27 14:46:04,1,1,22.32,99,37.39721433,127.1007027
2020-11-27 14:46:05,1,1,23.11,99,37.39696983,127.1007444
2020-11-27 14:46:06,1,1,22.06,99,37.39673045,127.1007851
2020-11-27 14:46:07,1,1,22.06,99,37.39648938,127.1008264
2020-11-27 14:46:08,1,1,22.84,99,37.39624969,127.1008678
2020-11-27 14:46:09,1,1,22.57,99,37.39600594,127.1009179
2020-11-27 14:46:10,1,1,22.57,99,37.39575597,127.1009619
2020-11-27 14:46:11,1,1,21.1,99,37.39551081,127.1010084
2020-11-27 14:46:12,1,1,20.42,99,37.39527444,127.1010557
2020-11-27 14:46:13,1,1,20.87,99,37.39502771,127.1011096
2020-11-27 14:46:14,1,1,21.33,99,37.39477973,127.1011689
2020-11-27 14:46:15,1,1,20.65,99,37.39452856,127.1012238
2020-11-27 14:46:16,1,1,20.42,98,37.39427948,127.1012768
2020-11-27 14:46:17,1,1,20.87,97,37.39403199,127.1013331
2020-11-27 14:46:18,1,1,20.0,97,37.3937818,127.1013872
2020-11-27 14:46:19,1,1,20.65,96,37.39353482,127.1014334
2020-11-27 14:46:20,1,1,20.65,96,37.39329771,127.1014701
2020-11-27 14:46:21,1,1,20.42,96,37.39306044,127.1015048
2020-11-27 14:46:22,1,1,20.87,96,37.39283011,127.1015403
2020-11-27 14:46:23,1,1,21.57,96,37.39259268,127.10159009999998
2020-11-27 14:46:24,1,1,21.82,97,37.39235522,127.1016311
2020-11-27 14:46:25,1,1,22.57,97,37.39212635,127.1016622
2020-11-27 14:46:26,1,1,23.95,98,37.3918972,127.1017035
2020-11-27 14:46:27,1,1,24.24,99,37.39166405,127.1017379
2020-11-27 14:46:28,1,1,24.54,100,37.39142435,127.101762
2020-11-27 14:46:29,1,1,25.16,102,37.39118209,127.1017862
2020-11-27 14:46:30,1,1,25.49,103,37.39092543,127.1018359
2020-11-27 14:46:31,1,1,26.49,103,37.39066974,127.1018915
2020-11-27 14:46:32,1,1,26.49,103,37.39041684,127.10195690000002
2020-11-27 14:46:33,1,1,26.49,104,37.39016375,127.1020233
2020-11-27 14:46:34,1,1,26.15,104,37.38991268,127.1020762
2020-11-27 14:46:35,1,1,25.16,104,37.3896671,127.1021137
2020-11-27 14:46:36,1,1,24.54,104,37.38941999,127.1021553
2020-11-27 14:46:37,1,1,25.81,104,37.38916905,127.1021937
2020-11-27 14:46:38,1,1,24.24,104,37.38892342,127.1022253
2020-11-27 14:46:39,1,1,24.54,104,37.38867276,127.1022624
2020-11-27 14:46:40,1,1,24.24,104,37.38844383,127.1022896
2020-11-27 14:46:41,1,1,24.85,104,37.38820208,127.1023402
2020-11-27 14:46:42,1,1,22.84,105,37.3879528,127.1023904
2020-11-27 14:46:43,1,1,23.11,105,37.38770519,127.1024398
2020-11-27 14:46:44,1,1,22.57,105,37.38746424,127.1024865
2020-11-27 14:46:45,1,1,24.54,105,37.38722405,127.10253090000002
2020-11-27 14:46:46,1,1,24.85,104,37.38698552,127.1025717
2020-11-27 14:46:47,1,1,23.11,103,37.3867482,127.102616
2020-11-27 14:46:48,1,1,22.84,103,37.38650391,127.1026602
2020-11-27 14:46:49,1,1,23.38,102,37.3862553,127.10270590000002
2020-11-27 14:46:50,1,1,24.24,102,37.38600264,127.1027568
2020-11-27 14:46:51,1,1,23.11,102,37.3857508,127.10280459999998
2020-11-27 14:46:52,1,1,22.84,102,37.38549637,127.1028462
2020-11-27 14:46:53,1,1,22.57,102,37.38524182,127.10289240000002
2020-11-27 14:46:54,1,1,22.06,102,37.38499095,127.1029389
2020-11-27 14:46:55,1,1,22.32,103,37.38473933,127.1029822
2020-11-27 14:46:56,1,1,23.66,103,37.38448476,127.1030162
2020-11-27 14:46:57,1,1,23.38,103,37.38422803,127.1030467
2020-11-27 14:46:58,1,1,21.82,103,37.38397157,127.1030725
2020-11-27 14:46:59,1,1,22.57,104,37.38371148,127.103095
2020-11-27 14:47:00,1,1,22.57,103,37.38345176,127.1031126
2020-11-27 14:47:01,1,1,21.33,103,37.38319427,127.1031222
2020-11-27 14:47:02,1,1,20.65,103,37.38294426,127.1031314
2020-11-27 14:47:03,1,1,20.87,102,37.38270222,127.1031393
2020-11-27 14:47:04,1,1,21.57,100,37.38246193,127.10313899999998
2020-11-27 14:47:05,1,1,23.11,100,37.38221818,127.1031386
2020-11-27 14:47:06,1,1,23.95,101,37.38196917,127.1031421
2020-11-27 14:47:07,1,1,24.85,102,37.38172075,127.1031461
2020-11-27 14:47:08,1,1,26.15,103,37.38146525,127.1031487
2020-11-27 14:47:09,1,1,27.21,105,37.38119515,127.1031498
