rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-30 21:30:46,1,1,,93,37.40250809,127.09791969999999
2020-11-30 21:30:47,1,1,,94,37.40276849,127.0980074
2020-11-30 21:30:48,1,1,,94,37.40215358,127.09828799999998
2020-11-30 21:30:49,1,1,,94,37.40237673,127.09834340000002
2020-11-30 21:30:50,1,1,,93,37.40220198,127.09853009999999
2020-11-30 21:30:51,1,1,,94,37.40202521,127.0987209
2020-11-30 21:30:52,1,1,,97,37.4018446,127.09890630000001
2020-11-30 21:30:53,1,1,,88,37.40167291,127.09909309999999
2020-11-30 21:30:54,1,1,,102,37.40150254,127.09925790000001
2020-11-30 21:30:55,1,1,,105,37.400803100000005,127.09954259999999
2020-11-30 21:30:56,1,1,,108,37.40056521,127.09969850000002
2020-11-30 21:30:57,1,1,7.88,111,37.40032933,127.0998412
2020-11-30 21:30:58,1,1,,112,37.40008887,127.09998130000001
2020-11-30 21:30:59,1,1,,113,37.39983733,127.1000922
2020-11-30 21:31:00,1,1,,115,37.39956622,127.1001951
2020-11-30 21:31:01,1,1,,118,37.39928352,127.10028179999999
2020-11-30 21:31:02,1,1,,120,37.398993100000006,127.1003529
2020-11-30 21:31:03,1,1,,123,37.39870176,127.100416
2020-11-30 21:31:04,1,1,,125,37.39840393,127.10047379999999
2020-11-30 21:31:05,1,1,,128,37.398101700000005,127.10052759999998
2020-11-30 21:31:06,1,1,,130,37.39779371,127.10057979999999
2020-11-30 21:31:07,1,1,,132,37.39773879,127.1003922
2020-11-30 21:31:08,1,1,,127,37.39716582,127.10068100000001
2020-11-30 21:31:09,1,1,,122,37.39693608,127.10055249999999
2020-11-30 21:31:10,1,1,35.04,118,37.39652732,127.1006404
2020-11-30 21:31:11,1,1,32.85,114,37.39628178,127.10086979999998
2020-11-30 21:31:12,1,1,29.57,110,37.39600844,127.1009253
2020-11-30 21:31:13,1,1,25.49,109,37.39560926,127.10083840000001
2020-11-30 21:31:14,1,1,27.21,107,37.39547271,127.1010281
2020-11-30 21:31:15,1,1,27.21,105,37.39505441,127.1009489
2020-11-30 21:31:16,1,1,26.15,103,37.39496208,127.10112209999998
2020-11-30 21:31:17,1,1,26.15,102,37.39471339999999,127.1011627
2020-11-30 21:31:18,1,1,25.81,101,37.39446571,127.10120719999999
2020-11-30 21:31:19,1,1,25.49,100,37.39422154,127.10124990000001
2020-11-30 21:31:20,1,1,,98,37.39397885,127.1012924
2020-11-30 21:31:21,1,1,21.57,95,37.39374229,127.1013345
2020-11-30 21:31:22,1,1,22.06,94,37.3933726,127.10127140000002
2020-11-30 21:31:23,1,1,23.95,92,37.39328843,127.1014122
2020-11-30 21:31:24,1,1,20.65,90,37.39289517,127.1013969
2020-11-30 21:31:25,1,1,18.61,89,37.39267228,127.1014558
2020-11-30 21:31:26,1,1,20.42,88,37.39263477,127.10152990000002
2020-11-30 21:31:27,1,1,21.82,87,37.39242118,127.10156940000002
2020-11-30 21:31:28,1,1,20.87,86,37.39199415,127.1016135
2020-11-30 21:31:29,1,1,20.42,85,37.39200437,127.10164640000002
2020-11-30 21:31:30,1,1,19.79,84,37.3917988,127.10168159999999
2020-11-30 21:31:31,1,1,22.84,83,37.39135715,127.1017544
2020-11-30 21:31:32,1,1,22.84,83,37.39115588,127.1017997
2020-11-30 21:31:33,1,1,14.55,83,37.39118708,127.10179699999999
2020-11-30 21:31:34,1,1,24.85,84,37.39074672,127.10189070000001
2020-11-30 21:31:35,1,1,22.06,85,37.39053123,127.10193490000002
2020-11-30 21:31:36,1,1,24.85,87,37.39031061,127.10197240000002
2020-11-30 21:31:37,1,1,26.85,88,37.39036801,127.1019443
2020-11-30 21:31:38,1,1,26.15,89,37.38987173,127.1020512
2020-11-30 21:31:39,1,1,26.15,90,37.38994437,127.1020202
2020-11-30 21:31:40,1,1,28.34,91,37.38972588,127.1020602
2020-11-30 21:31:41,1,1,28.74,93,37.389207,127.10217220000001
2020-11-30 21:31:42,1,1,22.84,94,37.38927936,127.10214340000002
2020-11-30 21:31:43,1,1,31.85,96,37.38905323,127.1021811
2020-11-30 21:31:44,1,1,,97,37.38854034,127.1022737
2020-11-30 21:31:45,1,1,14.08,98,37.38832147,127.10229869999999
2020-11-30 21:31:46,1,1,29.57,98,37.38834863,127.1023072
2020-11-30 21:31:47,1,1,,98,37.38788552,127.1023706
2020-11-30 21:31:48,1,1,14.8,97,37.38764902,127.10241540000001
2020-11-30 21:31:49,1,1,19.38,97,37.38742678,127.1024598
2020-11-30 21:31:50,1,1,25.16,96,37.38721373,127.102488
2020-11-30 21:31:51,1,1,,94,37.38698824,127.1025179
2020-11-30 21:31:52,1,1,28.34,93,37.38676419,127.1025547
2020-11-30 21:31:53,1,1,25.49,91,37.38655503,127.1025905
2020-11-30 21:31:54,1,1,23.66,89,37.38649814,127.10266399999999
2020-11-30 21:31:55,1,1,27.21,87,37.38614748,127.1026649
2020-11-30 21:31:56,1,1,20.87,84,37.38595502,127.10269869999999
2020-11-30 21:31:57,1,1,17.22,82,37.38588278,127.10277990000002
2020-11-30 21:31:58,1,1,20.0,80,37.38568731,127.1028142
2020-11-30 21:31:59,1,1,16.44,80,37.38538083,127.10280209999999
2020-11-30 21:32:00,1,1,20.65,80,37.38530174,127.1028832
2020-11-30 21:32:01,1,1,23.66,80,37.3851098,127.10291720000001
2020-11-30 21:32:02,1,1,20.0,80,37.38480811,127.10291229999999
2020-11-30 21:32:03,1,1,20.65,81,37.38472222,127.1029791
2020-11-30 21:32:04,1,1,21.33,81,37.38452754,127.10300790000001
2020-11-30 21:32:05,1,1,21.57,81,37.38421698,127.1030017
2020-11-30 21:32:06,1,1,31.85,81,37.38413536,127.1030604
2020-11-30 21:32:07,1,1,23.95,82,37.38393742,127.1030775
2020-11-30 21:32:08,1,1,27.21,83,37.38373615,127.1030909
2020-11-30 21:32:09,1,1,10.11,85,37.3835318,127.10310179999999
2020-11-30 21:32:10,1,1,32.34,87,37.38332653,127.1031097
2020-11-30 21:32:11,1,1,22.06,85,37.38311775,127.103124
2020-11-30 21:32:12,1,1,23.11,88,37.38290669,127.103131
2020-11-30 21:32:13,1,1,23.66,88,37.38269137,127.1031324
