dt,provider,device_name,latitude,longtitude,altitude,speed,accuracy,time_utc
2020-11-27 14:45:32,gps,device0,37.40435946,127.0960908,109.35225600000001,104.42753,16,1610000000000.0
2020-11-27 14:45:33,gps,device0,37.40416443,127.0962977,109.00185729999998,106.0432,24,1610000000000.0
2020-11-27 14:45:34,gps,device0,37.40396228,127.0965075,108.83940449999999,0.0,24,1610000000000.0
2020-11-27 14:45:35,gps,device0,37.40375456,127.0967223,108.8015907,0.0,24,1610000000000.0
2020-11-27 14:45:41,gps,device0,37.4025669,127.09797890000002,109.13800420000001,107.00663999999999,16,1610000000000.0
2020-11-27 14:45:42,gps,device0,37.40236079,127.0981882,108.5743902,107.27956,16,1610000000000.0
2020-11-27 14:45:43,gps,device0,37.40213943,127.0984061,107.82497659999999,106.088806,16,1610000000000.0
2020-11-27 14:45:44,gps,device0,37.40193018,127.0986165,106.88696809999999,108.020775,16,1610000000000.0
2020-11-27 14:45:45,gps,device0,37.40172644,127.09883229999998,105.85473190000002,108.5532,12,1610000000000.0
2020-11-27 14:45:46,gps,device0,37.40152292,127.09904679999998,105.0460168,108.59700000000001,16,1610000000000.0
2020-11-27 14:45:47,gps,device0,37.40132372,127.0992534,104.1306165,106.74768,16,1610000000000.0
2020-11-27 14:45:48,gps,device0,37.40110701,127.0994365,103.0905916,106.4539,12,1610000000000.0
2020-11-27 14:45:49,gps,device0,37.40088169,127.0996031,102.06453370000001,105.153725,12,1610000000000.0
2020-11-27 14:45:50,gps,device0,37.40066213,127.0997548,101.02744200000001,102.40578000000001,12,1610000000000.0
2020-11-27 14:45:51,gps,device0,37.40043542,127.09988359999998,100.0183114,99.91152,12,1610000000000.0
2020-11-27 14:45:52,gps,device0,37.40018712,127.09999930000001,98.97013872,99.77147,12,1610000000000.0
2020-11-27 14:45:53,gps,device0,37.3999349,127.1000989,97.9153634,101.1727,12,1610000000000.0
2020-11-27 14:45:54,gps,device0,37.39967966,127.1001838,96.80890941,100.016136,8,1610000000000.0
2020-11-27 14:45:55,gps,device0,37.39944108,127.10027790000001,95.83937745,99.328636,8,1610000000000.0
2020-11-27 14:45:56,gps,device0,37.39919557,127.1003355,94.97715557,99.096924,8,1610000000000.0
2020-11-27 14:45:57,gps,device0,37.39895739999999,127.10039809999999,94.33341211,99.72861,8,1610000000000.0
